##Temp./�C;Time/min;Mass/%
494.90400;   46.63280; 20.90275
497.40400;   46.88268; 20.84380
499.90400;   47.13254; 20.78764
502.40400;   47.38273; 20.73829
504.90400;   47.63255; 20.69371
507.40400;   47.88248; 20.65238
509.90400;   48.13263; 20.60765
512.40400;   48.38194; 20.56378
514.90400;   48.63201; 20.51493
517.40400;   48.88151; 20.45825
519.90400;   49.13163; 20.40775
522.40400;   49.38133; 20.35486
524.90400;   49.63112; 20.30320
527.40400;   49.88120; 20.25626
529.90400;   50.13115; 20.20079
532.40400;   50.38135; 20.14673
534.90400;   50.63154; 20.10229
537.40400;   50.88106; 20.05414
539.90400;   51.13096; 20.00980
542.40400;   51.38104; 19.96727
544.90400;   51.63071; 19.93522
547.40400;   51.88057; 19.90692
549.90400;   52.13022; 19.87095
552.40400;   52.38021; 19.82501
554.90400;   52.63008; 19.77679
557.40400;   52.88015; 19.73648
559.90400;   53.13107; 19.69663
562.40400;   53.38135; 19.65220
564.90400;   53.63128; 19.61806
567.40400;   53.88052; 19.58188
569.90400;   54.12999; 19.55354
572.40400;   54.38005; 19.52084
574.90400;   54.63063; 19.49658
577.40400;   54.88080; 19.47186
579.90400;   55.13067; 19.45021
582.40400;   55.38060; 19.42080
584.90400;   55.63024; 19.39468
587.40400;   55.88027; 19.36170
589.90400;   56.13035; 19.32984
592.40400;   56.38089; 19.30250
594.90400;   56.63068; 19.27619
597.40400;   56.88088; 19.26812
